ManchesterCity 102 37 76.11111111111111111111 75.24324324324324324324
Liverpool 101 50 74.84375000000000000000 74.78823529411764705882
Chelsea 71 27 77.58571428571428571428 73.91397849462365591397
Arsenal 68 41 77.01492537313432835820 76.37974683544303797468
Everton 61 39 71.45098039215686274509 70.67532467532467532467
TottenhamHotspur 55 51 75.11250000000000000000 75.53061224489795918367
ManchesterUnited 64 43 77.50746268656716417910 76.33750000000000000000
Southampton 54 46 71.13043478260869565217 68.45614035087719298245
StokeCity 45 52 70.19672131147540983606 70.16438356164383561643
NewcastleUnited 43 59 71.08771929824561403508 71.10447761194029850746
CrystalPalace 33 48 66.95652173913043478260 65.45283018867924528301
SwanseaCity 54 54 72.05357142857142857142 70.97183098591549295774
WestHamUnited 40 51 69.71929824561403508771 69.82258064516129032258
Sunderland 41 60 71.18367346938775510204 70.21212121212121212121
AstonVilla 39 61 71.53191489361702127659 70.38709677419354838709
HullCity 38 53 67.47368421052631578947 67.46428571428571428571
WestBromwichAlbion 43 59 70.47058823529411764705 69.96551724137931034482
NorwichCity 28 62 71.44000000000000000000 69.90769230769230769230
Fulham 40 85 70.38596491228070175438 71.01149425287356321839
CardiffCity 32 74 67.83636363636363636363 67.78181818181818181818
RealMadrid 101 37 85.57692307692307692307 83.00000000000000000000
SevillaFC 66 51 78.84848484848484848484 76.57407407407407407407
RealSociedad 61 53 75.66666666666666666666 72.16666666666666666666
RealValladolid 38 59 69.87500000000000000000 71.07692307692307692307
RayoVallecano 45 78 71.96774193548387096774 71.30769230769230769230
ASMonaco 62 30 73.05000000000000000000 70.00000000000000000000
StadedeReims 43 49 66.54545454545454545454 67.64285714285714285714
ACAjaccio 36 69 64.94444444444444444444 65.65573770491803278688
Juventus 77 23 80.56923076923076923076 81.58441558441558441558
Napoli 72 38 80.48979591836734693877 78.40909090909090909090
Fiorentina 63 42 76.34328358208955223880 75.35897435897435897435
Torino 56 46 72.74358974358974358974 72.60000000000000000000
Parma 56 46 73.18181818181818181818 72.75862068965517241379
HellasVerona 61 63 70.56097560975609756097 69.24000000000000000000
Lazio 53 54 78.38297872340425531914 76.89855072463768115942
Atalanta 42 49 73.93181818181818181818 73.40579710144927536231
Sampdoria 45 59 72.69696969696969696969 71.77272727272727272727
Udinese 43 54 75.23809523809523809523 74.13333333333333333333
Genoa 40 50 74.87500000000000000000 73.90322580645161290322
Cagliari 34 50 75.00000000000000000000 72.59523809523809523809
Sassuolo 42 70 65.60000000000000000000 65.54285714285714285714
ChievoVerona 32 53 72.04878048780487804878 71.61194029850746268656
Bologna 28 57 71.34920634920634920634 70.57142857142857142857
Catania 32 65 73.21428571428571428571 73.08695652173913043478
Livorno 39 75 66.60000000000000000000 64.78571428571428571428
BorussiaDortmund 80 38 78.67213114754098360655 75.18666666666666666666
VfLWolfsburg 63 50 74.08510638297872340425 73.55263157894736842105
FCAugsburg 47 47 68.94594594594594594594 68.24000000000000000000
WerderBremen 42 66 71.30000000000000000000 71.19354838709677419354
EintrachtFrankfurt 40 57 72.00000000000000000000 70.63492063492063492063
SCFreiburg 43 61 71.27272727272727272727 70.52727272727272727272
VfBStuttgart 49 62 73.85106382978723404255 72.87931034482758620689
